question_id,question_text,options
1,Tap all the letters that are the same as b.,"b,d,p,q"
2,Tap all the letters that are the same as d.,"b,d,p,q"
3,Tap all the letters that are the same as p.,"b,d,p,q"
4,Tap all the letters that are the same as q.,"b,d,p,q"
5,Tap all the letters that are the same as m.,"m,n,h,u"
6,Tap all the letters that are the same as n.,"m,n,h,u"
7,Tap all the letters that are the same as u.,"m,n,h,u"
8,Tap all the letters that are the same as h.,"m,n,h,u"
9,Tap all the letters that are the same as a.,"a,o,e,u"
10,Tap all the letters that are the same as o.,"a,o,e,u"
11,Tap all the letters that are the same as e.,"a,o,e,u"
12,Tap all the letters that are the same as c.,"c,e,o,a"
13,Tap all the letters that are the same as g.,"g,q,p,b"
14,Tap all the letters that are the same as t.,"t,f,l,i"
15,Tap all the letters that are the same as f.,"t,f,l,i"
16,Tap all the letters that are the same as l.,"t,f,l,i"
17,Tap all the letters that are the same as i.,"t,f,l,i"
18,Tap all the letters that are the same as s.,"s,z,x,c"
19,Tap all the letters that are the same as z.,"s,z,x,c"
20,Tap all the letters that are the same as x.,"s,z,x,c"
21,Tap all the letters that are the same as r.,"r,n,m,h"
22,Tap all the letters that are the same as w.,"w,v,u,m"
23,Tap all the letters that are the same as v.,"v,w,u,y"
24,Tap all the letters that are the same as y.,"y,v,u,j"
25,Tap all the letters that are the same as k.,"k,x,h,r"
